"Time","T0129",""
"and","500.00",""
"Date","Dir. Vento (�)",""
"","Mean","Qual"
00:00:00 06/08/2014,         345,      1
00:00:00 07/08/2014,          33,      1
00:00:00 08/08/2014,          12,      1
00:00:00 09/08/2014,          36,      1
00:00:00 10/08/2014,           7,      1
00:00:00 11/08/2014,         113,      1
00:00:00 12/08/2014,          56,    140
00:00:00 13/08/2014,          61,    140
00:00:00 14/08/2014,         326,      1
00:00:00 15/08/2014,         347,      1
00:00:00 16/08/2014,          33,      1
00:00:00 17/08/2014,          23,      1
00:00:00 18/08/2014,          71,      1
00:00:00 19/08/2014,         122,      1
00:00:00 20/08/2014,         272,      1
00:00:00 21/08/2014,           7,      1
00:00:00 22/08/2014,          31,      1
00:00:00 23/08/2014,         348,      1
00:00:00 24/08/2014,         345,      1
00:00:00 25/08/2014,         351,      1
00:00:00 26/08/2014,          72,      1
00:00:00 27/08/2014,         332,      1
00:00:00 28/08/2014,         358,      1
00:00:00 29/08/2014,         359,      1
00:00:00 30/08/2014,          19,      1
00:00:00 31/08/2014,         332,      1
00:00:00 01/09/2014,          14,      1
00:00:00 02/09/2014,         317,      1
00:00:00 03/09/2014,           3,      1
00:00:00 04/09/2014,           1,      1
00:00:00 05/09/2014,         320,      1
00:00:00 06/09/2014,          16,      1
00:00:00 07/09/2014,         335,      1
00:00:00 08/09/2014,           2,      1
00:00:00 09/09/2014,         325,      1
00:00:00 10/09/2014,           5,      1
00:00:00 11/09/2014,         353,      1
00:00:00 12/09/2014,          27,      1
00:00:00 13/09/2014,         360,      1
00:00:00 14/09/2014,          13,      1
00:00:00 15/09/2014,          64,      1
00:00:00 16/09/2014,          80,      1
00:00:00 17/09/2014,          46,      1
00:00:00 18/09/2014,          63,      1
